fold,best_epoch,stopped_epoch,tv_gap,threshold,test_acc,test_bal_acc,macro_f1,cl0_recall,cl1_recall
1,15,25,-0.0031027270054311273,0.5,0.858678955453149,0.8493326885880077,0.8532691780016464,0.7890909090909091,0.9095744680851063
2,27,37,0.17525245504949852,0.5,0.8277511961722488,0.826579604378721,0.8217549696765498,0.8211382113821138,0.8320209973753281
3,33,43,0.1913848553142264,0.5,0.841692789968652,0.8499264705882352,0.8361836000559291,0.8823529411764706,0.8175
4,19,29,0.06913122855146403,0.5,0.880184331797235,0.8683312655086849,0.8717442259896138,0.8185483870967742,0.9181141439205955
5,34,44,0.20107137412318835,0.5,0.8021472392638037,0.7993145540798768,0.7997728912091757,0.7713310580204779,0.8272980501392758
