train_loss,train_loss_unweighted,val_loss,train_acc,val_acc,val_bal_acc
0.6291164875679276,0.7166377049400693,0.6497606235771931,0.4642176870748299,0.6206896551724138,0.6695954907161804
0.5330386155235524,0.6159833194528307,0.5344655270059707,0.6582312925170068,0.7323481116584565,0.7374005305039788
0.4705989611878687,0.5290993194839582,0.49841737238252887,0.7379591836734694,0.7602627257799671,0.761604774535809
0.42975491792166315,0.4792368056701154,0.46106070226244933,0.7718367346938776,0.7799671592775042,0.7642572944297082
0.40360131018015805,0.447149976354067,0.48765120287051145,0.7917006802721088,0.7733990147783252,0.7821618037135278
0.3768319721692273,0.41871849750985907,0.44007336838883526,0.8160544217687075,0.7848932676518884,0.773209549071618
0.35946228058970703,0.3978490822331435,0.43958183335161755,0.8285714285714286,0.7947454844006568,0.7869694960212201
0.3457328604840908,0.3856175185871773,0.5320487287635678,0.8330612244897959,0.7635467980295566,0.7882957559681698
0.33197098964736577,0.3686624454113902,0.45169252891258654,0.8416326530612245,0.7931034482758621,0.7997347480106101
0.32423282139560805,0.35964182374428727,0.4647858571536435,0.8469387755102041,0.7947454844006568,0.8068633952254642
0.31271766027625725,0.34827127376381234,0.40242156303183396,0.8507482993197278,0.8144499178981938,0.7979111405835544
0.3101185120692869,0.3474374084975444,0.3997074116039746,0.8552380952380952,0.812807881773399,0.7940981432360743
0.3050141898669353,0.3433492471814967,0.3978950058298158,0.8556462585034014,0.80623973727422,0.7838196286472149
0.29657243351547086,0.3350541103697148,0.3911443232804879,0.8605442176870748,0.8210180623973727,0.8090185676392573
0.29139741524547136,0.3288292008841119,0.38375386585938714,0.8623129251700681,0.8275862068965517,0.8093501326259946
0.28172906078043436,0.31802368154533867,0.43159969006657406,0.868843537414966,0.812807881773399,0.8206233421750664
0.27488817961037565,0.3121719959560706,0.3789429818272395,0.8697959183673469,0.8275862068965517,0.8176392572944298
0.2781649111525542,0.31619858550782104,0.38274134874148125,0.8693877551020408,0.8374384236453202,0.8305702917771883
0.2731543271395625,0.3119855009982375,0.44692750527157965,0.8722448979591837,0.8111658456486043,0.8250994694960212
0.2695921679297272,0.3120645895093477,0.4023558898218747,0.8684353741496599,0.819376026272578,0.8250994694960212
0.25927893600496305,0.2960798472449893,0.40360370483891717,0.8778231292517007,0.8292282430213465,0.8330570291777188
0.253234582498771,0.29042489891555034,0.3810901056075918,0.8787755102040816,0.8341543513957307,0.8196286472148541
0.2463113312778019,0.2861393210393231,0.37561824061404697,0.8791836734693877,0.8423645320197044,0.8353779840848806
0.24253830963657017,0.280437410745491,0.36791820635740785,0.8831292517006802,0.8390804597701149,0.8227785145888594
0.2408307002312472,0.2811961143357413,0.3768595955739859,0.8834013605442177,0.8407224958949097,0.835709549071618
0.24077800626049237,0.28021220868947555,0.3655658742575027,0.8819047619047619,0.8357963875205254,0.8284151193633953
0.24169754867042814,0.2819523404589316,0.38959128359464196,0.8819047619047619,0.8325123152709359,0.835709549071618
0.2362157515522574,0.277852555002485,0.39410383551578804,0.8853061224489795,0.8308702791461412,0.8343832891246684
0.23709507465768023,0.27506183269072554,0.3904324999975258,0.8859863945578231,0.8308702791461412,0.835212201591512
0.23037719878209692,0.2717879185871202,0.3627989831424895,0.8876190476190476,0.8407224958949097,0.8323938992042441
0.2303194026071198,0.2688713697997891,0.3618372337669379,0.8870748299319728,0.8357963875205254,0.8267572944297082
0.23073225351823431,0.2703391906679893,0.3549857426844598,0.8895238095238095,0.8489326765188834,0.8381962864721486
0.22496186934563578,0.26694811556614984,0.36300577426387365,0.889795918367347,0.8456486042692939,0.8322281167108754
0.2269764448915209,0.2644943745971537,0.385560988401153,0.8961904761904762,0.8374384236453202,0.8405172413793103
0.22104587200547562,0.2634036174274626,0.3555762142383406,0.8908843537414965,0.8505747126436781,0.8403514588859416
0.21880106158807974,0.25844408813787967,0.39512080159680596,0.8940136054421769,0.8341543513957307,0.8395225464190981
0.21585178774230335,0.25588016540014824,0.36917941700453044,0.8941496598639456,0.8440065681444991,0.8275862068965517
0.2115623961581665,0.24980230544700102,0.35627146400450094,0.8960544217687075,0.8456486042692939,0.8380305039787799
0.20767341174438697,0.24650060499403753,0.37173350617803375,0.9,0.8407224958949097,0.8423408488063661
0.20763060223894053,0.24660198889622073,0.3832055005338196,0.8989115646258503,0.8357963875205254,0.8375331564986738
0.20964452095988656,0.24965818197143322,0.3690477269525794,0.8987755102040816,0.8341543513957307,0.8304045092838197
0.20623816950791546,0.24662786870383893,0.37104846446580686,0.8998639455782312,0.8423645320197044,0.8411803713527851
0.2003556815904825,0.24041367210092998,0.3718347980079588,0.9012244897959184,0.8374384236453202,0.8347148541114058
0.20020986274391617,0.2390618999312524,0.3654144078444182,0.9034013605442177,0.8440065681444991,0.8375331564986737
0.20128334217331037,0.23988120174732339,0.3865018625956255,0.9054421768707483,0.8423645320197044,0.8453249336870026
0.20258876299371525,0.24157547836806498,0.3533312683720111,0.902312925170068,0.8505747126436781,0.8386936339522546
0.2012279110822548,0.24049670321195304,0.3808384251907737,0.9040816326530612,0.8423645320197044,0.8453249336870026
0.19918582193300027,0.23820812951139853,0.3776226142063517,0.9036734693877551,0.8456486042692939,0.8471485411140584
0.19587414640553144,0.2375496767126784,0.36512782905489355,0.906530612244898,0.8456486042692939,0.8405172413793103
0.1969795908996848,0.2362457475451385,0.36096720512473135,0.9034013605442177,0.8472906403940886,0.8376989389920424
0.19307846411555804,0.23284227928336787,0.38697402710202095,0.9047619047619048,0.8390804597701149,0.84184350132626
0.19267003836680432,0.2327975115990963,0.3694761765903636,0.9074829931972789,0.8423645320197044,0.8395225464190981
0.19316960792557722,0.23461464853513808,0.3574292510992592,0.9044897959183673,0.8472906403940886,0.8385278514588859
0.19334498393697805,0.23386630943437822,0.3698079078068287,0.9044897959183673,0.8440065681444991,0.8408488063660478
0.1946719994512545,0.23485133096879843,0.36183690280945624,0.9053061224489796,0.8489326765188834,0.8415119363395225
0.19470067692451737,0.2343113925809763,0.3628497049334797,0.9053061224489796,0.8472906403940886,0.8410145888594165
0.1927412085812919,0.2347549731309722,0.36291058486318356,0.9032653061224489,0.8489326765188834,0.8431697612732096
0.19264120601066928,0.23375477685003865,0.3640360913448929,0.9072108843537415,0.8505747126436781,0.8453249336870027
