train_loss,train_loss_uw,val_loss,train_acc,val_acc,val_bal_acc
0.6253580156925026,0.7211750330810132,0.6591914533303966,0.45580808080808083,0.6180371352785146,0.67883997331878
0.5145429750700374,0.5920046020035792,0.5245309586708362,0.6815268065268065,0.726790450928382,0.7447092353404887
0.4484299621845088,0.5002505722764674,0.4712145359351717,0.7558275058275058,0.7612732095490716,0.7627190588806015
0.4143585969795992,0.4606382799593163,0.4468845668142607,0.7884615384615384,0.7851458885941645,0.7892032017464071
0.390337033658965,0.42961892663923085,0.4767661601384059,0.8075951825951826,0.7931034482758621,0.8138530107331272
0.3690433928970227,0.40748960210448937,0.3953941862051936,0.8267288267288267,0.8090185676392573,0.7789400278940029
0.35577519813432373,0.396163366381846,0.3864885916049031,0.8242035742035742,0.8037135278514589,0.7854738948517372
0.33861164749826494,0.37522897450796094,0.3957279603582478,0.8380924630924631,0.8116710875331565,0.8147171184282336
0.33301143226645763,0.37028091856464457,0.37680489370298004,0.840034965034965,0.8275862068965517,0.8242071432902796
0.3175406391155655,0.3560258256272929,0.38435296662922563,0.8456682206682207,0.8222811671087533,0.8261475956582378
0.30825849199304306,0.345390438315659,0.46498947248692857,0.8577117327117327,0.8037135278514589,0.8283457643563156
0.3037229539144845,0.3423125186490753,0.36432507076851567,0.85499222999223,0.8275862068965517,0.8288005578800558
0.29819169260775663,0.3379339255745687,0.33479670646652304,0.8588772338772339,0.8594164456233422,0.8431871930143715
0.29020309896319063,0.3292250551034428,0.44293207056642525,0.8639277389277389,0.8169761273209549,0.8418682917955249
0.28525354826089105,0.324706808809356,0.34448466566576563,0.8671328671328671,0.843501326259947,0.8260414771693652
0.2830080361957224,0.32117189616312236,0.4091089390396123,0.8673271173271173,0.8249336870026526,0.8435510278333636
0.27368987692634356,0.31362855862811634,0.32764910627897603,0.868978243978244,0.8567639257294429,0.8472196955915348
0.2720844819041862,0.311023024528084,0.3516078952610967,0.8714063714063714,0.8381962864721485,0.8386998969134679
0.2652898897657861,0.30363888541857403,0.3398893419010886,0.8741258741258742,0.8461538461538461,0.8403826329513068
0.26318226748876267,0.3019378532618632,0.33095668106085424,0.8772338772338772,0.8647214854111406,0.8489024316293736
0.25777099949033483,0.29789418338710427,0.3308564905146389,0.8772338772338772,0.8461538461538461,0.8235401127887938
0.26327686150729795,0.302574316706876,0.36023919561023104,0.8767482517482518,0.8408488063660478,0.8530410526954096
0.2490519448339059,0.28644208219872025,0.3267497487504539,0.883061383061383,0.8488063660477454,0.8409435449639198
0.24275137084625262,0.2816576369992503,0.3238836892878029,0.8857808857808858,0.8514588859416445,0.8445667333697169
0.2413798113756617,0.28193727355644327,0.3444592149962797,0.8855866355866356,0.8514588859416445,0.8537535625492694
0.2371498422976511,0.27607323003537726,0.33103660282627023,0.8885975135975136,0.843501326259947,0.8199169243829968
0.24172995695098945,0.2814088788667944,0.3250699881612464,0.8848096348096348,0.8461538461538461,0.8250712509853859
0.23740886407669146,0.2782405276074369,0.32515875900297647,0.8876262626262627,0.8594164456233422,0.8554362985871081
0.23516605456345935,0.2748254671194985,0.3205837535447088,0.8867521367521367,0.8488063660477454,0.8332878539809594
0.23062916014925305,0.27178858207841206,0.31142659078226165,0.8896658896658897,0.870026525198939,0.8454308410648232
0.2305773036393808,0.27036992771364315,0.3310369507308348,0.89005439005439,0.8567639257294429,0.850281971984719
0.2286657160025006,0.27007412667318936,0.34110287373356857,0.8891802641802642,0.8488063660477454,0.8516615123400644
0.22362983748953566,0.266299483543602,0.32686006117720817,0.8958818958818959,0.870026525198939,0.8699290522102965
0.22551270775792204,0.2671204540580395,0.3290728506896477,0.8903457653457654,0.8594164456233422,0.8508428839973319
0.22147471439773572,0.2625371003878052,0.32128372539417815,0.8943278943278943,0.8488063660477454,0.8302255775877752
0.21081242994597094,0.25149255974772555,0.3212871074834616,0.9013209013209014,0.8620689655172413,0.854466072403129
0.2118092221211535,0.25359316335784066,0.3121150014255028,0.898989898989899,0.8594164456233422,0.8477806076041478
0.21117639212804704,0.2545439087798082,0.31091593387746685,0.8987956487956488,0.8620689655172413,0.8422169668303923
0.209389702631877,0.2517216200039381,0.30619762976226506,0.8998640248640248,0.8647214854111406,0.8443090170395973
0.21026843026708797,0.2519544906503208,0.3216494094946024,0.9011266511266511,0.8647214854111406,0.8611515372021102
0.20816182517088377,0.251628939794679,0.31164377232129126,0.8992812742812742,0.8620689655172413,0.8514037960099449
0.2091859132051468,0.25078378924586187,0.3196176633199267,0.8987956487956488,0.8673740053050398,0.858650172821539
0.20655052596594625,0.24843132157796283,0.3127415703525594,0.9008352758352758,0.8753315649867374,0.8679885998423382
0.20532556885466988,0.24841665957635378,0.32646949672256287,0.9017094017094017,0.870026525198939,0.8699290522102965
0.19860062120075642,0.2406080609481281,0.31883870112643004,0.9044289044289044,0.8647214854111406,0.8596203990055181
0.19979496086023535,0.242038147282304,0.31766226425253113,0.9056915306915307,0.8541114058355438,0.8435965071857376
0.19819688382497017,0.24151746436617777,0.3121270821170402,0.9053030303030303,0.8620689655172413,0.8437481050269844
0.2021196847195392,0.24454321142028446,0.31432404375044676,0.9018065268065268,0.8647214854111406,0.8580892608089261
